	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	e_pred	c_pred
470	The black and white dog is running in a green yard	all x.all y.all z. (BlackDog(x) & WhiteDog(y) & GreenYard(z) -> RunsIn(x, y, z))			A black and white dog is running outdoors	all x. (Dog(x) & Black(x) & White(x) -> RunsOutdoors(x))	e		
471	A dog is jumping into the air in the country	exists x. exists y. (Dog(x) & Country(y) & JumpsIntoAir(x, y))			A dog is jumping in the shade of some trees	exists x.exists y. (Dog(x) & Tree(y) & JumpsInShade(x, y))	n		
472	A dog is jumping in the shade of some trees	exists x.exists y. (Dog(x) & Tree(y) & JumpsInShade(x, y))			A cat is jumping high into the air in the country	all x.all y. (Cat(x) & Country(y) -> JumpsHighIntoAir(x, y))	n		
473	A cluster of four brown dogs are playing in a field of brown grass	exists x. exists y. exists z. (Cluster(x) & Dog(y) & Dog(z) & Brown(y) & Brown(z) & PlayingIn(y, x) & PlayingIn(z, x))			Four dogs are not playing in a grassy area	exists x. (Dog(x) & not PlayingInGrassyArea(x))	c		
474	A big brown and white spotted dog is lying on a jacket on the street	exists x. (Dog(x) & Big(x) & Brown(x) & WhiteSpotted(x) & LyingOn(x, jacket) & OnStreet(x))			The dog is having a nap in the park	exists x. (Dog(x) & exists y. (Park(y) & Napping(x, y)))	n		
475	A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up	all x.all y. (Man(x) & YellowSportBike(x) & Wheelie(x) & Friend(y) & BlackBike(y) -> CatchingUp(y))			The rider dressed in orange is driving a motorcycle on one wheel	all x.all y. (Rider(x) & Motorcycle(y) & DressedInOrange(x) -> DrivingOnOneWheel(x, y))	n		
476	An elder man is sitting on a bench and is wearing a gray jacket and black pants	exists x. (ElderMan(x) & SittingOnBench(x) & WearingGrayJacket(x) & WearingBlackPants(x))			An elderly man is sitting on a bench	exists x. exists y. (ElderlyMan(x) & Bench(y) & SittingOn(x, y))	e		
477	The woman is holding the paintbrush next to the artist's easel 	all x.all y.all z. (Woman(x) & Paintbrush(y) & Artist(z) -> HoldsNextToEasel(x, y, z))			The lady is holding the paintbrush next to the artist's easel 	all x.all y.all z. (Lady(x) & Paintbrush(y) & Artist(z) & HoldsNextTo(x, y, z) -> Easel(z))	e		
478	A man is wearing a blue shirt and walking barefoot on a tennis court	exists x. (Man(x) & WearingBlueShirt(x) & WalkingBarefootOnTennisCourt(x))			A woman is wearing a blue shirt and walking barefoot on a tennis court	exists x. (Woman(x) & exists y. (BlueShirt(y) & Wearing(x, y)) & exists z. (TennisCourt(z) & WalkingBarefoot(x, z)))	n		
479	The young girl is playing on the edge of a fountain and an older woman is watching her	all x.all y. (YoungGirl(x) & Fountain(y) & EdgeOf(x, y) & OlderWoman(z) & Watching(z, x) -> Playing(x, y))			A young girl is playing on the edge of a fountain and an older woman is watching her	all x.all y. (YoungGirl(x) & Fountain(f) & OlderWoman(y) -> (PlaysOnEdgeOf(x, f) & Watches(y, x)))	e		
480	A young girl is playing on the edge of a fountain and an older woman is watching her	all x.all y. (YoungGirl(x) & Fountain(f) & OlderWoman(y) -> (PlaysOnEdgeOf(x, f) & Watches(y, x)))			A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain	exists x. exists y. exists z. (LittleGirl(x) & Woman(y) & YellowShirt(z) & CityFountain(f) & SplashedBy(x, y, z, f))	n		
481	A black and white dog with a large branch is standing in the field	all x. (Dog(x) & Black(x) & White(x) & LargeBranch(x) -> StandingInField(x))			A black and white dog with a large branch is running in the field	all x.all y.all z. (Dog(x) & BlackAndWhite(x) & LargeBranch(y) & Has(x, y) & Field(z) -> RunsIn(x, z))	c		
482	A black and white dog is carrying a huge stick on the green grass	all x.all y.all z. (Dog(x) & BlackAndWhite(x) & HugeStick(y) & GreenGrass(z) -> CarryingOn(x, y, z))			A black and white dog with a large branch is running in the field	all x.all y.all z. (Dog(x) & BlackAndWhite(x) & LargeBranch(y) & Has(x, y) & Field(z) -> RunsIn(x, z))	e		
483	A boy is running through the sand	exists x. (Boy(x) & Running(x) & Through(x, sand))			A boy wearing a striped shirt is running barefoot on the sandy hill	all x.all y.all z. (Boy(x) & Shirt(y) & Striped(y) & Hill(z) & Wearing(x, y) & On(x, z) -> RunBarefoot(x, z))	n		
484	Two young boys are looking up at the camera and one is sticking out his tongue	exists x. exists y. exists z. (YoungBoy(x) & YoungBoy(y) & YoungBoy(z) & Camera(c) & LookingUpAt(x, c) & LookingUpAt(y, c) & StickingOutTongue(z, c))			The little boy is sticking his tongue out for the camera and another boy is looking on	all x.all y. (LittleBoy(x) & LittleBoy(y) & StickingTongueOut(x) & Camera(z) -> LookingOn(y, z))	n		
485	A little boy is sticking his tongue out for the camera and another boy is looking on	exists x. exists y. (LittleBoy(x) & LittleBoy(y) & StickingTongueOut(x) & LookingOn(y, x))			Two kids are looking up at the camera and one is sticking out his tongue	exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & LookingUpAtCamera(x) & LookingUpAtCamera(y) & StickingOutTongue(z))	e		
486	A laughing child is holding a water gun and getting sprayed with water	all x. (LaughingChild(x) -> (HoldingWaterGun(x) & GettingSprayedWithWater(x)))			A person in a blue jacket is jumping onto a tall cement wall	all x.all y.all z. (Person(x) & BlueJacket(x) & TallCementWall(y) & JumpsOnto(x, y) -> Wall(z))	n		
487	A person is slicing some mushrooms	exists x. (Person(x) & Slicing(x, mushrooms))			The elephant is being ridden by the woman	exists x. exists y. (Elephant(x) & Woman(y) & Riding(y, x))	n		
488	Two small children are playing with a toy car in the street	exists x. exists y. exists z. (Child(x) & Child(y) & ToyCar(z) & PlayingWith(x, y, z) & InStreet(z))			A dog is running through a field and is chasing a toy	all x.all y.all z. (Dog(x) & Field(y) & Toy(z) -> (RunsThrough(x, y) & Chases(x, z)))	n		
489	A man is playing an electric guitar	exists x. (Man(x) & Playing(x, ElectricGuitar))			A group of people is holding drinks and pointing at the camera	all x. (Group(x) -> (HoldingDrinks(x) & PointingAtCamera(x)))	n		
490	A girl in gold and purple is holding a rainbow afghan	all x. (Girl(x) & Gold(x) & Purple(x) -> HoldingRainbowAfghan(x))			A man is squatting in brush and taking a photo	exists x. (Man(x) & SquattingInBrush(x) & TakingPhoto(x))	n		
491	Two people are riding a bike	exists x. exists y. (Person(x) & Person(y) & RidingBike(x, y))			A practicing jumper is tossing a person's snowboard into the air	all x.all y.all z. (PracticingJumper(x) & Person(y) & Snowboard(z) -> TossesIntoAir(x, y, z))	n		
492	Some instruments are being played by a band	exists x.exists y. (Instrument(x) & Band(y) & PlayedBy(x, y))			A young, topless woman is covered in paint	all x. (Young(x) & Topless(x) -> CoveredInPaint(x))	n		
493	A family is buying something at the vending machine	exists x. exists y. exists z. (Family(x) & VendingMachine(y) & (Buying(x, z) & Something(z)))			A man in a suit is standing at a microphone and singing	all x. (Man(x) & InSuit(x) -> (StandingAtMicrophone(x) & Singing(x)))	n		
494	A bike is being ridden over a monkey	all x.all y. (Bike(x) & Monkey(y) -> RiddenOver(x, y))			A person is riding a dirt bike down a dirt hill	exists x. exists y. exists z. (Person(x) & DirtBike(y) & DirtHill(z) & Riding(x, y, z))	n		
495	A biker is riding away from a fence	all x.all y. (Biker(x) & Fence(y) -> RidingAwayFrom(x, y))			A man is dancing on the road	exists x. (Man(x) & Dancing(x))	n		
496	A woman is playing an electric guitar	exists x. (Woman(x) & Playing(x, ElectricGuitar))			A kid is playing guitar	exists x. (Kid(x) & PlayingGuitar(x))	n		
497	The animal is grazing on the grass	all x. all y. (Animal(x) & Grass(y) -> GrazingOn(x, y))			The cop is sitting on a police bike	exists x. exists y. (Cop(x) & PoliceBike(y) & SittingOn(x, y))	n		
498	The dog is snapping at some droplets of water	exists x.exists y. (Dog(x) & Droplet(y) & SnappingAt(x, y))			A girl in a band is playing an instrument	all x.all y. (Girl(x) & Band(y) -> PlayingInstrument(x, y))	n		
499	A young man is pushing a motocross bike down a dirt hill	all x.all y.all z. (YoungMan(x) & MotocrossBike(y) & DirtHill(z) -> Pushing(x, y, z))			A dog is swimming after a tennis ball	exists x. exists y. (Dog(x) & TennisBall(y) & Swimming(x, y))	n		
