,p_nl,h_nl,p_fol,h_fol,label,e_pred,c_pred
459,A man is wearing a blue shirt and walking barefoot on a tennis court,A woman is wearing a blue shirt and walking barefoot on a tennis court,exists x. (Man(x) & WearingBlueShirt(x) & WalkingBarefootOnTennisCourt(x)),"exists x. (Woman(x) & exists y. (BlueShirt(y) & Wearing(x, y)) & exists z. (TennisCourt(z) & WalkingBarefoot(x, z)))",n,False,False
460,The young girl is playing on the edge of a fountain and an older woman is watching her,A young girl is playing on the edge of a fountain and an older woman is watching her,"all x.all y. (YoungGirl(x) & Fountain(y) & EdgeOf(x, y) & OlderWoman(z) & Watching(z, x) -> Playing(x, y))","all x.all y. (YoungGirl(x) & Fountain(f) & OlderWoman(y) -> (PlaysOnEdgeOf(x, f) & Watches(y, x)))",e,False,False
461,A young girl is playing on the edge of a fountain and an older woman is watching her,A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,"all x.all y. (YoungGirl(x) & Fountain(f) & OlderWoman(y) -> (PlaysOnEdgeOf(x, f) & Watches(y, x)))","exists x. exists y. exists z. (LittleGirl(x) & Woman(y) & YellowShirt(z) & CityFountain(f) & SplashedBy(x, y, z, f))",n,False,False
462,A black and white dog with a large branch is standing in the field,A black and white dog with a large branch is running in the field,all x. (Dog(x) & Black(x) & White(x) & LargeBranch(x) -> StandingInField(x)),"all x.all y.all z. (Dog(x) & BlackAndWhite(x) & LargeBranch(y) & Has(x, y) & Field(z) -> RunsIn(x, z))",c,False,False
463,A black and white dog is carrying a huge stick on the green grass,A black and white dog with a large branch is running in the field,"all x.all y.all z. (Dog(x) & BlackAndWhite(x) & HugeStick(y) & GreenGrass(z) -> CarryingOn(x, y, z))","all x.all y.all z. (Dog(x) & BlackAndWhite(x) & LargeBranch(y) & Has(x, y) & Field(z) -> RunsIn(x, z))",e,False,False
464,A boy is running through the sand,A boy wearing a striped shirt is running barefoot on the sandy hill,"exists x. (Boy(x) & Running(x) & Through(x, sand))","all x.all y.all z. (Boy(x) & Shirt(y) & Striped(y) & Hill(z) & Wearing(x, y) & On(x, z) -> RunBarefoot(x, z))",n,False,False
465,Two young boys are looking up at the camera and one is sticking out his tongue,The little boy is sticking his tongue out for the camera and another boy is looking on,"exists x. exists y. exists z. (YoungBoy(x) & YoungBoy(y) & YoungBoy(z) & Camera(c) & LookingUpAt(x, c) & LookingUpAt(y, c) & StickingOutTongue(z, c))","all x.all y. (LittleBoy(x) & LittleBoy(y) & StickingTongueOut(x) & Camera(z) -> LookingOn(y, z))",n,False,False
466,A little boy is sticking his tongue out for the camera and another boy is looking on,Two kids are looking up at the camera and one is sticking out his tongue,"exists x. exists y. (LittleBoy(x) & LittleBoy(y) & StickingTongueOut(x) & LookingOn(y, x))",exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & LookingUpAtCamera(x) & LookingUpAtCamera(y) & StickingOutTongue(z)),e,False,False
467,A laughing child is holding a water gun and getting sprayed with water,A person in a blue jacket is jumping onto a tall cement wall,all x. (LaughingChild(x) -> (HoldingWaterGun(x) & GettingSprayedWithWater(x))),"all x.all y.all z. (Person(x) & BlueJacket(x) & TallCementWall(y) & JumpsOnto(x, y) -> Wall(z))",n,False,False
468,A person is slicing some mushrooms,The elephant is being ridden by the woman,"exists x. (Person(x) & Slicing(x, mushrooms))","exists x. exists y. (Elephant(x) & Woman(y) & Riding(y, x))",n,False,False
469,Two small children are playing with a toy car in the street,A dog is running through a field and is chasing a toy,"exists x. exists y. exists z. (Child(x) & Child(y) & ToyCar(z) & PlayingWith(x, y, z) & InStreet(z))","all x.all y.all z. (Dog(x) & Field(y) & Toy(z) -> (RunsThrough(x, y) & Chases(x, z)))",n,False,False
470,A man is playing an electric guitar,A group of people is holding drinks and pointing at the camera,"exists x. (Man(x) & Playing(x, ElectricGuitar))",all x. (Group(x) -> (HoldingDrinks(x) & PointingAtCamera(x))),n,False,False
471,A girl in gold and purple is holding a rainbow afghan,A man is squatting in brush and taking a photo,all x. (Girl(x) & Gold(x) & Purple(x) -> HoldingRainbowAfghan(x)),exists x. (Man(x) & SquattingInBrush(x) & TakingPhoto(x)),n,False,False
472,Two people are riding a bike,A practicing jumper is tossing a person's snowboard into the air,"exists x. exists y. (Person(x) & Person(y) & RidingBike(x, y))","all x.all y.all z. (PracticingJumper(x) & Person(y) & Snowboard(z) -> TossesIntoAir(x, y, z))",n,False,False
473,Some instruments are being played by a band,"A young, topless woman is covered in paint","exists x.exists y. (Instrument(x) & Band(y) & PlayedBy(x, y))",all x. (Young(x) & Topless(x) -> CoveredInPaint(x)),n,False,False
474,A family is buying something at the vending machine,A man in a suit is standing at a microphone and singing,"exists x. exists y. exists z. (Family(x) & VendingMachine(y) & (Buying(x, z) & Something(z)))",all x. (Man(x) & InSuit(x) -> (StandingAtMicrophone(x) & Singing(x))),n,False,False
475,A bike is being ridden over a monkey,A person is riding a dirt bike down a dirt hill,"all x.all y. (Bike(x) & Monkey(y) -> RiddenOver(x, y))","exists x. exists y. exists z. (Person(x) & DirtBike(y) & DirtHill(z) & Riding(x, y, z))",n,False,False
476,A biker is riding away from a fence,A man is dancing on the road,"all x.all y. (Biker(x) & Fence(y) -> RidingAwayFrom(x, y))",exists x. (Man(x) & Dancing(x)),n,False,False
477,A woman is playing an electric guitar,A kid is playing guitar,"exists x. (Woman(x) & Playing(x, ElectricGuitar))",exists x. (Kid(x) & PlayingGuitar(x)),n,False,False
478,The animal is grazing on the grass,The cop is sitting on a police bike,"all x. all y. (Animal(x) & Grass(y) -> GrazingOn(x, y))","exists x. exists y. (Cop(x) & PoliceBike(y) & SittingOn(x, y))",n,False,False
479,The dog is snapping at some droplets of water,A girl in a band is playing an instrument,"exists x.exists y. (Dog(x) & Droplet(y) & SnappingAt(x, y))","all x.all y. (Girl(x) & Band(y) -> PlayingInstrument(x, y))",n,False,False
480,A young man is pushing a motocross bike down a dirt hill,A dog is swimming after a tennis ball,"all x.all y.all z. (YoungMan(x) & MotocrossBike(y) & DirtHill(z) -> Pushing(x, y, z))","exists x. exists y. (Dog(x) & TennisBall(y) & Swimming(x, y))",n,False,False
